run_id,query,gate_pass,predicted_citation_count,gate_reason,final_context_token_count,answer_generated,abstained,answer_length,evidence_count,answer,limits,safety_note,top_evidence_snippets,selected_parent_ids
bm25_263aee33,tác dụng của cây ngải cứu,,,,,False,False,0,,,,,[],[]
hybrid_rrf_09b8db9d,Cây Mã Đề,True,4.0,Sufficient and agreeing evidence from hybrid retrieval.,,False,False,0,5.0,,,,[],[]
hybrid_rrf_263aee33,tác dụng của cây ngải cứu,True,4.0,Sufficient and agreeing evidence from hybrid retrieval.,1669.0,True,False,538,3.0,"Cây ngải cứu (Artemisia vulgaris L. [E1] ) thuộc họ Cúc và được sử dụng trong y học cổ truyền với nhiều tác dụng. [E1] Nó có thể điều hòa khí huyết, điều kinh, an thai, cầm máu. [E1] Ngải cứu thường được dùng để chữa các chứng bệnh như kinh nguyệt không đều, bụng lạnh đau, băng huyết, rong kinh, động thai, thổ huyết, chảy máu cam, lỵ ra máu và viêm ruột [E1] . Cách sử dụng thông thường là uống 6-12g/ngày dưới dạng thuốc sắc hoặc dùng lá tươi giã nát vắt lấy nước. [E1] Tuy nhiên, người âm hư, huyết nhiệt không nên sử dụng [E2] [E3] .","Thông tin về tác dụng của cây ngải cứu chủ yếu dựa trên các chứng bệnh được đề cập, nhưng không có bằng chứng cụ thể về cơ chế hoạt động hoặc hiệu quả lâm sàng. Cần thận trọng khi sử dụng và nên tham khảo ý kiến bác sĩ trước khi áp dụng [E1] [E2] [E3].","Thông tin này chỉ nhằm mục đích tham khảo từ tài liệu đã truy xuất, không thay thế chẩn đoán hoặc chỉ định điều trị của bác sĩ.","['NGẢI CỨU Tên khác: Cây thuốc cứu - Ngải - Nhã ngải - Ngải cao Tên khoa học: Artemisia vulgaris L. Họ: Cúc (Asteraceae) 1. Mô tả, phân bố Ngải cứu thuộc loại cây thảo sống lâu năm, cao 0,4 - 1,5m, lá mọc so le, phiến rộng, xẻ theo nhiều...', 'không đều, bụng lạnh đau, băng huyết, rong kinh, động thai, thổ huyết, chảy máu cam, lỵ ra máu, viêm ruột... Cách dùng: Uống 6 - 12g/ngày, dạng thuốc sắc hay dùng lá Ngải cứu tươi rửa sạch, giã nát, vắt lấy nước uống. Lưu ý: Người âm hư,...', 'uống với ít đường. 2. Bạch đới: Ngải chân vịt tươi 30-60g, sắc uống. 3. Bầm dập: Ngải chân vịt tươi 60g, củ Hẹ tươi 30g, giã chung và tẩm rượu dùng đắp. Ngải cứu Ngải cứu, Thuốc cứu - Artemisia vulgaris L., thuộc họ Cúc - Asteraceae. Mô...']","['src_e56086bb278f:h:5297024b7f97:b2', 'src_e0520ddfd9ac:h:5297024b7f97:b713']"
hybrid_rrf_3fe8052c,cách chữa trẻ em ho do cảm lạnh bằng cây thuốc-dược liệu là gì,False,1.0,Insufficient strong evidence passages.,,False,True,0,1.0,,,,[],[]
hybrid_rrf_4143dfa4,tác dụng của cây sả,True,4.0,Sufficient and agreeing evidence from hybrid retrieval.,3500.0,True,False,269,4.0,"Cây sả có tác dụng khử phong thấp, giải cảm hàn, trừ sốt, đau đầu, đau dạ dày, ỉa chảy, viêm tai giữa, ho, kinh nguyệt không đều. [E1] Tinh dầu sả còn dùng để xua muỗi và khử mùi hôi. [E1] Tuy nhiên, tác dụng cụ thể phụ thuộc vào cách sử dụng và đối tượng sử dụng. [E1]","Thông tin về tác dụng của cây sả chủ yếu dựa trên kinh nghiệm dân gian, chưa có bằng chứng lâm sàng đầy đủ. Cần thận trọng khi sử dụng và nên tham khảo ý kiến bác sĩ trước.","Thông tin này chỉ nhằm mục đích tham khảo từ tài liệu đã truy xuất, không thay thế chẩn đoán hoặc chỉ định điều trị của bác sĩ.","['khí, giải cảm hàn thấp nóng sốt, trị đau bụng lạnh dạ, nôn mửa. Ngày nay, ta dùng Sả chữa: cảm mạo, nóng sốt đau đầu, đau dạ dày, ỉa chảy, phong thấp tê đau, đòn ngã tổn thương, bụng dạ trướng đau, viêm tai giữa có mủ, ho, cước khí, kinh...', 'S Sả Sả, Mao hương - Cymbopogon cit ratus (DC.) Stapf, thuộc họ Lúa - Poaceae. Mô tả: Cây thảo sống lâu năm, mọc thành bụi, phân nhánh nhiều, cao khoảng 1,5m. Thân rễ trắng hoặc hơi tím. Lá dài đến 1m, hẹp, mép hơi ráp; bẹ trắng, rộng....', '42 55- Phun PLĂNG /J/; Along HƠP LĂNG /B/ • Tên phổ thông: Cây Sả chanh. • Tên khoa học: Cymbopogoncit ratus (DC) Stapf. • Bộ phận dùng: Lá, thân, củ. • Tác dụng chữa bệnh: Cảm sốt; Đau nhức xương khớp; Say rượu; Rối loạn tiêu hóa. •...']","['src_e0520ddfd9ac:h:5297024b7f97:b885', 'src_6784cb75c99b:h:5297024b7f97:b15', 'src_d5596b1dce93:h:5297024b7f97:b888']"
hybrid_rrf_492bba9f,tác dụng của cây xả,True,4.0,Sufficient and agreeing evidence from hybrid retrieval.,,False,False,0,5.0,,,,[],[]
hybrid_rrf_4a49a95e,"Dược liệu chữa ho, hen là gì",False,1.0,Insufficient strong evidence passages.,,False,True,0,1.0,,,,[],[]
hybrid_rrf_760bd221,cây chi sả có tên khác là gì,True,4.0,Sufficient and agreeing evidence from hybrid retrieval.,,False,False,0,5.0,,,,[],[]
hybrid_rrf_7e7ba53b,Tên khoa học của cây câu kỷ là gì,True,4.0,Sufficient and agreeing evidence from hybrid retrieval.,,False,False,0,5.0,,,,[],[]
hybrid_rrf_82132096,cách chữa trẻ em ho do cảm lạnh là gì,False,2.0,Evidence lacks concentrated agreement (same parent/source).,,False,True,0,2.0,,,,[],[]
hybrid_rrf_9c8122c1,thuốc đông y có những loại bài thuốc và cách dùng  nào ?,True,4.0,Sufficient and agreeing evidence from hybrid retrieval.,3306.0,True,False,257,4.0,"Thuốc đông y có nhiều loại bài thuốc như thang, hoàn, tán, cao, đan. [E1] Mỗi loại có cách dùng riêng: Thang là thuốc sắc từ các vị thuốc; hoàn, tán, cao, đan là thuốc chế sẵn. [E1] Bài thuốc có thể chỉ một vị hoặc nhiều vị, tùy theo mục đích điều trị. [E1]",Thông tin cung cấp không đề cập đến chi tiết cách sử dụng cụ thể của từng loại bài thuốc.,"Thông tin này chỉ nhằm mục đích tham khảo từ tài liệu đã truy xuất, không thay thế chẩn đoán hoặc chỉ định điều trị của bác sĩ.","['Chương 1: Kiến thức cơ bản về các bài thuốc đông y © text: http://phongthuyquan. vn 7giải, bài ôn nhiệt, bài hàn lương, bài tiêu dao, bài bổ ích, nếu 8 cách trên chưa khái quát được hết thì lại chia thành bài lý khí, bài lý huyết, bài...', 'IV. CÁC LOẠI BÀI THUỐC VÀ CÁCH DÙNG 1. Loại thường dùng: Thuốc đông y thường dùng gồm 5 loại: Thang, hoàn, tán, cao, đan. 4 loại nói sau là thuốc chế sẵn thường gọi là cao đan hoàn tán, có loại mang tên là hoàn tán nhưng thực tế ứng dụng...', 'Những bài thuốc chỉ cách ăn uống chữa bệnh tiểu đường và những biến chứng kể trên đã được đông tây y phân tích các vị thuốc qua cách nhìn khác nhau cũng cùng đạt được kết qủa giống nhau, nhưng tây y mới còn trong thử nghiệm, ngành tây...']","['src_6c0d8caff063:h:5297024b7f97:b4', 'src_40c21fbc97fb:h:5297024b7f97:b45', 'src_6c0d8caff063:h:5297024b7f97:b1']"
hybrid_rrf_a173f313,thuốc nào chữa khỏi hoàn toàn mọi loại ung thư,False,4.0,Query contains absolute/universal claim but retrieved evidence does not explicitly support that certainty level.,3500.0,True,False,39,4.0,Không đủ căn cứ trong tài liệu hiện có.,Bộ lọc answerability cho thấy bằng chứng truy xuất chưa đủ mạnh để trả lời chắc chắn. Chi tiết: Query contains absolute/universal claim but retrieved evidence does not explicitly support that certainty level.,"Thông tin này chỉ nhằm mục đích tham khảo từ tài liệu đã truy xuất, không thay thế chẩn đoán hoặc chỉ định điều trị của bác sĩ.","['30biến chứng suy tủy, suy tim, đau thận, mất máu, mất hồng cầu ,bạch cầu, và gây ra một bệnh ung thư khác. Ngoài ba phương pháp trên còn có phương pháp khác như dùng nội tiết tố hormone như kích thích tố nam testosté rone chữa ung thư...', '29cung ), nhục lựu ( bướu thịt ), lâm ba nhục lựu( ung thư hạch lym phosarcome ).. Vì trong sách vở của y học cổ truyền Trung quốc có đề cập đến các loại bệnh ung thư và cách chữa nhưng không được thống kê kết qủa và theo dõi như tây y...', 'thể dùng băng có lót bông đem thấm dịch cây Lược Vàng để đắp lên vết mổ. . Bệnh ung thư: Để cập đế bệnh ung thư, ông Dmit ri cho biết, đã tìm thấy rất nhiều thông tin về cây Đikhora, rằng nó giúp chữa ung thư ở mọi giai đoạn, nhưng ông...']","['src_715f913a01a9:h:5297024b7f97:b10', 'src_12abef9658fb:h:5297024b7f97:b10', 'src_12abef9658fb:h:5297024b7f97:b23']"
hybrid_rrf_b291f4bb,tác dụng của cây ngải xả,False,1.0,Insufficient strong evidence passages.,,False,True,0,1.0,,,,[],[]
hybrid_rrf_e6f48c88,thuốc đông y có những loại nào ?,True,3.0,Sufficient and agreeing evidence from hybrid retrieval.,2922.0,True,False,299,3.0,"Thuốc đông y bao gồm nhiều loại khác nhau, dựa trên thành phần tự nhiên như cây cỏ, thảo mộc. [E1] Mỗi loại thuốc có đặc điểm về khí (thăng, hàn), tính (nóng, lạnh) và vị (nhạt, đậm). [E1] Việc sử dụng các loại thuốc này cần được điều chỉnh phù hợp với tình trạng sức khỏe cụ thể của bệnh nhân. [E1]","Thông tin về các loại thuốc cụ thể không được cung cấp trong context, do đó giới hạn việc liệt kê đầy đủ các loại thuốc. Việc sử dụng thuốc cần dựa trên chẩn đoán của thầy thuốc đông y.","Thông tin này chỉ nhằm mục đích tham khảo từ tài liệu đã truy xuất, không thay thế chẩn đoán hoặc chỉ định điều trị của bác sĩ.","['23cho chích eucalyp tine là loại khuynh diệp tinh chế , hàm lượng mạnh hơn tốt hơn ,chứ thật ra hai vị thuốc tây-ta như vậy đâu có kỵ nhau. Tuy nhiên chúng ta để ý thành phần cấu tạo được phân chất theo khoa học thường là chất a,b,c.....', 'Vì toa thuốc được viết ra sau khi thầy thuốc đã chẩn mạch chỉ áp dụng riêng cho bệnh nhân đó, dựa trên những biến đổi rối loạn chức năng phủ tạng của mỗi người mỗi khác. Thầy thuốc đông y giỏi vừa phải biết tìm ra sự mất quân bình khí...', 'Trong cách chế biến thuốc của đông y , người ta có thể thay đổi phần nào khí, tính và vị của nó nếu cần 21phải dùng đến nó. Thí dụ một loại thuốc có khí thăng (đi lên, tính lạnh (hàn), nếu vị dẫn thuốc vào tim sẽ ra sao, vào phổi sẽ ra...']","['src_0797fad8a92a:h:5297024b7f97:b10', 'src_40c21fbc97fb:h:5297024b7f97:b0', 'src_0797fad8a92a:h:5297024b7f97:b8']"
hybrid_rrf_ea59314a,cây sả có tên khác là gì,True,4.0,Sufficient and agreeing evidence from hybrid retrieval.,,False,False,0,5.0,,,,[],[]
vector_263aee33,tác dụng của cây ngải cứu,,,,,False,False,0,,,,,[],[]
